time,running_avg_rt_ms
3402.0356,137.1545
3402.0850,137.1542
3402.1821,137.1529
3402.2007,137.1518
3402.2400,137.1508
3402.2780,137.1492
3402.3370,137.1481
3402.4637,137.1468
3402.6485,137.1476
3402.6784,137.1479
3402.7062,137.1483
3402.7214,137.1486
3402.7362,137.1488
3402.7411,137.1486
3402.8565,137.1496
3402.8940,137.1502
3402.8972,137.1501
3402.9149,137.1491
3402.9694,137.1485
3403.0322,137.1483
3403.0421,137.1483
3403.0725,137.1484
3403.0948,137.1480
3403.1153,137.1478
3403.1208,137.1464
3403.1493,137.1449
3403.3101,137.1436
3403.3226,137.1425
3403.3453,137.1410
3403.4758,137.1405
3403.4875,137.1400
3403.4980,137.1396
3403.5282,137.1391
3403.5325,137.1386
3403.5771,137.1383
3403.6231,137.1381
3403.6440,137.1381
3403.6454,137.1373
3403.6652,137.1364
3403.6741,137.1353
3403.7322,137.1342
3403.7369,137.1326
3403.7860,137.1312
3403.8225,137.1297
3403.8714,137.1285
3403.8890,137.1274
3403.9517,137.1270
3403.9908,137.1266
3404.0649,137.1262
3404.0696,137.1258
3404.1207,137.1243
3404.2366,137.1228
3404.3160,137.1214
3404.3191,137.1200
3404.3624,137.1184
3404.3882,137.1169
3404.4833,137.1158
3404.5793,137.1146
3404.5900,137.1134
3404.6342,137.1123
3404.6677,137.1113
3404.7414,137.1109
3404.7553,137.1102
3404.7827,137.1099
3404.7899,137.1095
3404.8630,137.1095
3404.8761,137.1095
3404.9158,137.1091
3404.9193,137.1077
3404.9404,137.1063
3404.9965,137.1054
3405.1305,137.1061
3405.1960,137.1072
3405.2926,137.1093
3405.3081,137.1108
3405.3215,137.1121
3405.3518,137.1138
3405.4209,137.1156
3405.4443,137.1170
3405.5029,137.1188
3405.5412,137.1202
3405.5581,137.1214
3405.5830,137.1227
3405.6457,137.1245
3405.7330,137.1272
3405.7621,137.1301
3405.7791,137.1330
3405.7938,137.1362
3405.8373,137.1397
3405.8688,137.1425
3405.8969,137.1456
3405.9543,137.1492
3405.9646,137.1512
3405.9901,137.1532
3406.0107,137.1544
3406.0308,137.1557
3406.0655,137.1571
3406.1020,137.1578
3406.1241,137.1586
3406.1659,137.1586
3406.1716,137.1580
3406.1882,137.1575
3406.1994,137.1570
3406.2346,137.1555
3406.2547,137.1542
3406.3401,137.1532
3406.3416,137.1518
3406.3929,137.1502
3406.5566,137.1487
3406.5937,137.1473
3406.6366,137.1461
3406.6490,137.1446
3406.7414,137.1436
3406.7525,137.1426
3406.7927,137.1416
3406.8125,137.1408
3406.9094,137.1410
3406.9222,137.1404
3406.9539,137.1402
3406.9570,137.1395
3406.9612,137.1385
